feat,lrp
A,-0.0012530468614239717
C,-0.0020710998241864034
T,-0.001981007019582491
G,-0.0022105045582842824
TFs_and_others_PBXIP1,-0.0008899364385186437
TFs_and_others_HBcAg,-0.0004982218393671107
TFs_and_others_BRAF,-1.867571377592548e-05
TFs_and_others_ZNF296,-3.280477893411166e-05
TFs_and_others_CGGBP1,-4.0616915150767774e-05
TFs_and_others_SOX21,-4.605749792110761e-05
TFs_and_others_HIV Tat,-5.144962931555882e-05
TFs_and_others_REC8,-7.246576138350234e-05
TFs_and_others_OVOL2,-7.387168556625148e-05
TFs_and_others_EZH1,-7.789307354937169e-05
TFs_and_others_GABPB2,-7.106481615140341e-05
TFs_and_others_GLIS1,-8.000597328807728e-05
TFs_and_others_LBX2,-6.566938978179118e-05
Histone_H3K27me1,-7.743926032373955e-05
TFs_and_others_ZNF33B,-6.442268136989332e-05
TFs_and_others_FANCM,-6.664377045586894e-05
TFs_and_others_SERPINE1,-6.440837578412045e-05
TFs_and_others_ZFHX4,-6.24508217464141e-05
TFs_and_others_ZNF610,-6.983888409154973e-05
TFs_and_others_PPP2CA,-7.273485126590766e-05
TFs_and_others_ZNF266,-6.559925055442522e-05
TFs_and_others_EED,-7.119680543008888e-05
TFs_and_others_ERH,-6.983928202361892e-05
TFs_and_others_ZNF362,-8.72829871758001e-05
TFs_and_others_ALOX5,-6.993212583647329e-05
TFs_and_others_TP73,-9.450491728197563e-05
TFs_and_others_ZNF71,-6.045103056527485e-05
TFs_and_others_UBTF,-8.151391362111064e-05
TFs_and_others_EN1,-6.135491644848945e-05
TFs_and_others_ZBTB21,-9.574108454283533e-05
TFs_and_others_NFKB1,-5.7276689369411814e-05
TFs_and_others_DPF2,-0.00010014287728601761
TFs_and_others_ZNF891,-6.036705809041004e-05
Histone_H2A.ZK4K7ac,-9.779912073743194e-05
TFs_and_others_TRIM28,-8.606184277213553e-05
TFs_and_others_TOP2B,-8.643975405978119e-05
TFs_and_others_ZNF174,-7.042970583498063e-05
TFs_and_others_ZNF486,-7.977939012275026e-05
TFs_and_others_SCML4,-6.959668702220089e-05
TFs_and_others_RAG1,-8.704022073224022e-05
TFs_and_others_HES1,-8.84078909418352e-05
TFs_and_others_SMAD5,-8.048125977866187e-05
TFs_and_others_ZNF570,-6.302009803017763e-05
TFs_and_others_ZNF431,-8.053532164372027e-05
TFs_and_others_ZNF608,-7.037963761087841e-05
TFs_and_others_CREBBP,-9.087627340293477e-05
TFs_and_others_ZNF707,-8.100307919365882e-05
TFs_and_others_RBAK,-7.876393631597043e-05
TFs_and_others_FLI1,-0.00013723454223833924
